Name,Blockchain Supportate,Last Updated,Profilo Twitter/X,Sito Web,Tags,Token/NFT
Smol Refuel,"Arbitrum, BSC, Base, Blast, Degen, Ethereum, Gnosis, Optimism, Polygon, Polygon zkEVM, Scroll, XAI, Zora, zkSync","June 23, 2024",https://x.com/smolrefuel,https://smolrefuel.com/,"Bridge, DeFi, Interoperabilità (Cross-Chain)",
Balancer,"Arbitrum, Avalanche, Base, Ethereum, Gnosis, Optimism, Polygon, Polygon zkEVM","June 22, 2024",https://x.com/Balancer,https://balancer.fi/,"Criptovaluta, DeFi, Exchange Decentralizzato (DEX)",https://www.coingecko.com/en/coins/balancer
PropellerSwap,"Ethereum, Starknet, zkSync","June 23, 2024",https://x.com/propellerswap,https://www.propellerheads.xyz/,"Airdrop, DeFi, Exchange Decentralizzato (DEX), Protezione MEV",
ENS,Ethereum,"June 23, 2024",https://x.com/ensdomains,https://ens.domains/,Marketplace NFT,https://www.coingecko.com/en/coins/ethereum-name-service
Fractional Uprising (FU),Arbitrum,"June 23, 2024",https://x.com/FU_STUDIOS,https://www.fustudios.io/,Web3 Game,https://www.coingecko.com/en/coins/fu-money
Yearn Finance,"Arbitrum, Ethereum, Polygon","June 23, 2024",https://x.com/yearnfi,https://yearn.fi/,"DeFi, Rendimento (Yield Farming)",https://www.coingecko.com/en/coins/yearn-finance
Redacted Remilio Babies,Ethereum,"June 24, 2024",https://x.com/RemilioBaby,https://remilio.org/,NFT,https://opensea.io/collection/remilio-babies
Lido Finance,"Ethereum, Solana","June 25, 2024",https://x.com/LidoFinance,https://lido.fi/,"DeFi, Restaking (LST)",https://www.coingecko.com/en/coins/lido-dao
Defined,"Arbitrum, Avalanche, BSC, Base, Berachain, Blast, Degen, Ethereum, Linea, Moonbeam, Moonriver, Optimism, Polygon, Polygon zkEVM, Sanko, Scroll, Solana, XAI, zkSync","June 27, 2024",https://x.com/definedfi,https://www.defined.fi/,Aggregatore di Dati,
Defiant News,,,,,,
Unchained Podcast,,,,,,
Cointelegraph,,,,,,
Floppa,Base,"July 16, 2024",https://x.com/floppa/,https://floppa.wtf/,Memecoin,https://dexscreener.com/base/0x6caa62e48a2d9f3a8eacaadca2462ed5dfe0c685
MakerDao,,,,,,
Synthetix,,,,,,
OhBabyGames,,"August 8, 2024",https://x.com/OhBabyGames,https://www.ohbabygames.com/,Web3 Game,
Smilee,"Arbitrum, Berachain","September 13, 2024",https://x.com/SmileeFinance,https://app.smilee.finance/,DeFi,https://opensea.io/collection/smilee-beras
Sonic (rename),Fantom,"September 15, 2024",https://x.com/FantomFDN,https://www.soniclabs.com/,Blockchain,https://www.coingecko.com/en/coins/fantom
Equalizer,"Base, Fantom","September 15, 2024",,,"DeFi, Exchange Decentralizzato (DEX)",https://www.coingecko.com/en/coins/equalizer-dex
The Honey Jar,"Berachain, Ethereum, Zora","September 10, 2024",https://x.com/0xhoneyjar,https://hub.xyz/honeyjar,"Aggregatore di Dati, Community, NFT",https://opensea.io/collection/honey-comb-2
Bunni,,,https://x.com/bunni_xyz,,Exchange Decentralizzato (DEX),
Mirror,"Base, Linea, Optimism, Polygon, Zora","September 24, 2024",https://x.com/viamirror,https://mirror.xyz/,"Community, Piattaforma per Creatori",
Avalanche,Avalanche,"September 10, 2024",https://x.com/avax,https://www.avax.network/,"Blockchain, L2",https://www.coingecko.com/en/coins/avalanche
Smilee Beras,,,,,NFT,https://opensea.io/collection/smilee-beras
Trader Joe,"Arbitrum, Avalanche","September 19, 2024",https://x.com/traderjoe_xyz,https://lfj.gg/avalanche,DeFi,https://www.coingecko.com/en/coins/joe
Coinglass,,,,https://www.coinglass.com/,Aggregatore di Dati,
Abstract,,"January 23, 2026",https://x.com/AbstractChain,https://www.abs.xyz/,Blockchain,
Pacifica,Solana,"November 30, 2025",https://x.com/pacifica_fi,https://app.pacifica.fi/,"DEX Trading (Perpetuals), DeFi",
Perpetual Pulse,,,,https://www.perpetualpulse.xyz/,Aggregatore di Dati,
Audioglyphs,Ethereum,"September 3, 2025",,,NFT,https://opensea.io/collection/autoglyphs
Lil Pudgys,,"September 3, 2025",,,NFT,https://opensea.io/collection/lilpudgys
Sproto Gremlins,Ethereum,,,,NFT,https://opensea.io/collection/sproto-gremlins
Hypio Babies,HyperEVM,"September 3, 2025",,,NFT,https://drip.trade/collections/hypio
Pip & Friends,HyperEVM,"September 3, 2025",,,NFT,https://drip.trade/collections/pip
Lighter,"Arbitrum, Avalanche, BSC, Base, Ethereum, HyperEVM, Monad, Optimism, Solana","January 23, 2026",https://x.com/Lighter_xyz,app.lighter.xyz/?referral=3SEU75MYUJ5C,"DEX Trading (Perpetuals), DeFi",https://www.coingecko.com/en/coins/lighter
Moonpay,,"September 18, 2025",,,Exchange Centralizzato (CEX),
Hyperbeat,HyperEVM,"September 18, 2025",,,"Carta Cripto, On-ramp, Rendimento (Yield Farming)",
Kast,Solana,"September 22, 2025",https://x.com/KASTcard,https://www.kast.xyz/,"Carta Cripto, On-ramp",
Kalshi,,,,,Predizioni,
Extended,"Arbitrum, Avalanche, BSC, Base, Ethereum, Polygon","January 23, 2026",https://x.com/extendedapp,https://app.extended.exchange/join/EXTEND777,"Airdrop, DEX Trading (Perpetuals)",
Hibachi,"Arbitrum, Base","October 1, 2025",,https://hibachi.xyz/,DEX Trading (Perpetuals),
Limitless,,"October 1, 2025",https://x.com/trylimitless,https://limitless.exchange/advanced,"Airdrop, Predizioni",
Avantis,,,https://x.com/avantisfi,,DEX Trading (Perpetuals),
Ostium,Arbitrum,"November 30, 2025",https://x.com/OstiumLabs,https://app.ostium.com/trade?from=SPX&to=USD&ref=QR69Q,DEX Trading (Perpetuals),
Codec,Solana,"October 7, 2025",https://x.com/codecopenflow,,"Criptovaluta, Robotica",https://dexscreener.com/solana/hh4d2z7skbtos2dawzs1xcwsrwybk14knueu1khmzcev
Variational,Arbitrum,"March 1, 2026",https://x.com/variational_io,https://omni.variational.io/?ref=OMNIFALS5KIJ,"Airdrop, DEX Trading (Perpetuals)",
Derive,,"October 12, 2025",https://x.com/DeriveXYZ,,Opzioni,
Rysk,HyperEVM,"October 13, 2025",https://x.com/ryskfinance,https://app.rysk.finance/,"DeFi, Opzioni",
HyperEVM,,"November 30, 2025",https://x.com/HyperliquidX,https://hyperfoundation.org/,Blockchain,https://www.coingecko.com/en/coins/hyperliquid
Felix,HyperEVM,"November 30, 2025",https://x.com/felixprotocol,https://www.usefelix.xyz?ref=EBB69FF2,Prestiti Decentralizzati,
Truemarkets,Base,"December 5, 2025",https://x.com/truemarkets,https://truemarkets.org/,Predizioni,https://www.coingecko.com/en/coins/truemarkets
Hyperlend,HyperEVM,"March 1, 2026",https://x.com/hyperlendx,https://hyperlend.finance/,"DeFi, Prestiti Decentralizzati, Rendimento (Yield Farming)",https://dexscreener.com/hyperevm/0x594d610a042a70a21cd17124ad62cb746737e589
